station,feature,rmse,changepoint_prior_scale,changepoint_range,seasonality_mode,mean_value
거제도동안3_연안,클로로필-a[μg/L],1.046203239,0.5,0.8,multiplicative,1.459149532
거제도동안3_연안,총인[μg/L],0.214447617,0.3,0.9,multiplicative,19.61298103
거제도동안3_연안,수온[℃],0.4401587,0.3,0.8,additive,20.12739759
거제도동안3_연안,총질소[μg/L],0.769838113,0.7,0.9,multiplicative,193.882528
거제도동안3_연안,용존산소[mg/L],0.959889038,0.3,0.8,additive,7.83162719
거제도동안4_연안,투명도[m],1.487610757,0.7,0.8,multiplicative,5.886228466
거제도동안4_연안,화학적산소요구량[mg/L],0.373689123,0.7,0.8,multiplicative,1.197778718
거제도동안4_연안,염분[psu],1.912507299,0.3,0.9,multiplicative,32.8928708
거제도동안4_연안,클로로필-a[μg/L],0.545558936,0.3,0.8,additive,2.289314453
거제도동안4_연안,총인[μg/L],0.535150032,0.7,0.8,additive,16.07168073
거제도동안4_연안,수온[℃],0.709635834,0.7,0.8,additive,19.25875433
거제도동안4_연안,총질소[μg/L],0.700642506,0.7,0.9,multiplicative,170.6169042
거제도동안4_연안,용존산소[mg/L],0.582368276,0.3,0.9,multiplicative,9.451089472
고성자란만1_연안,투명도[m],0.314545171,0.3,0.9,multiplicative,2.684082652
고성자란만1_연안,화학적산소요구량[mg/L],0.934725946,0.5,0.9,multiplicative,1.43456411
고성자란만1_연안,염분[psu],2.162658556,0.7,0.8,additive,33.1281921
고성자란만1_연안,클로로필-a[μg/L],0.967385834,0.5,0.8,additive,1.124700285
고성자란만1_연안,총인[μg/L],0.24298995,0.7,0.8,multiplicative,33.37527594
고성자란만1_연안,수온[℃],0.72962885,0.7,0.9,multiplicative,17.01043661
고성자란만1_연안,총질소[μg/L],0.664091178,0.7,0.8,multiplicative,176.1254016
고성자란만1_연안,용존산소[mg/L],0.410314183,0.3,0.9,multiplicative,7.996778
고성자란만2_연안,투명도[m],0.926024027,0.7,0.8,additive,5.508488627
고성자란만2_연안,화학적산소요구량[mg/L],0.7602939,0.7,0.9,additive,1.349794502
고성자란만2_연안,염분[psu],1.426343468,0.5,0.9,additive,33.64230512
고성자란만2_연안,클로로필-a[μg/L],0.430902007,0.3,0.9,multiplicative,0.609835257
고성자란만2_연안,총인[μg/L],0.317085937,0.3,0.8,multiplicative,25.20560704
고성자란만2_연안,수온[℃],0.767717228,0.7,0.9,multiplicative,17.31653578
고성자란만2_연안,총질소[μg/L],0.48361572,0.3,0.8,multiplicative,255.5567239
고성자란만2_연안,용존산소[mg/L],0.247560785,0.7,0.8,multiplicative,8.463819731
고성자란만3_연안,투명도[m],0.55918095,0.3,0.9,multiplicative,4.502842318
고성자란만3_연안,화학적산소요구량[mg/L],0.732835193,0.7,0.9,multiplicative,0.634026198
고성자란만3_연안,염분[psu],1.262212901,0.7,0.8,additive,33.13510044
고성자란만3_연안,클로로필-a[μg/L],0.283678644,0.3,0.8,multiplicative,1.531382542
고성자란만3_연안,총인[μg/L],0.260227049,0.7,0.9,multiplicative,18.94422711
고성자란만3_연안,수온[℃],1.058563249,0.7,0.9,multiplicative,17.08278795
고성자란만3_연안,총질소[μg/L],0.401237826,0.5,0.9,multiplicative,162.7055512
고성자란만3_연안,용존산소[mg/L],0.37358618,0.7,0.8,multiplicative,8.258321448
고창연안1_연안,투명도[m],1.607861335,0.7,0.9,multiplicative,1.026126745
고창연안1_연안,화학적산소요구량[mg/L],0.534271774,0.7,0.9,additive,2.15190323
고창연안1_연안,염분[psu],1.277642522,0.7,0.8,multiplicative,31.22792418
고창연안1_연안,클로로필-a[μg/L],1.156061162,0.7,0.9,multiplicative,8.954436687
고창연안1_연안,총인[μg/L],0.454908008,0.7,0.8,multiplicative,45.75171311
고창연안1_연안,수온[℃],0.921224243,0.3,0.8,additive,15.68950303
고창연안1_연안,총질소[μg/L],0.458847849,0.7,0.9,multiplicative,343.0583044
고창연안1_연안,용존산소[mg/L],0.808616826,0.7,0.8,additive,9.3250869
고창연안2_연안,투명도[m],1.125690941,0.7,0.8,additive,0.992568154
고창연안2_연안,화학적산소요구량[mg/L],1.709311863,0.7,0.8,additive,2.047575084
고창연안2_연안,염분[psu],1.847402788,0.3,0.9,additive,31.64636055
고창연안2_연안,클로로필-a[μg/L],1.368643398,0.3,0.9,additive,5.100449365
고창연안2_연안,총인[μg/L],0.654354745,0.3,0.9,additive,37.3643098
고창연안2_연안,수온[℃],0.734561684,0.3,0.8,additive,16.15168244
고창연안2_연안,총질소[μg/L],0.436987067,0.3,0.9,multiplicative,364.338304
고창연안2_연안,용존산소[mg/L],0.58415763,0.3,0.9,multiplicative,8.928906646
고창연안4_연안,투명도[m],0.75343236,0.7,0.9,multiplicative,0.284536036
고창연안4_연안,화학적산소요구량[mg/L],1.480696368,0.7,0.9,additive,3.045355381
고창연안4_연안,염분[psu],1.601173579,0.7,0.8,additive,31.88481337
고창연안4_연안,클로로필-a[μg/L],1.64842529,0.3,0.9,multiplicative,12.50321497
고창연안4_연안,총인[μg/L],0.730254407,0.3,0.9,multiplicative,75.39011767
고창연안4_연안,수온[℃],0.795167926,0.3,0.8,additive,16.71396043
고창연안4_연안,총질소[μg/L],0.521024692,0.7,0.8,additive,330.253354
고창연안4_연안,용존산소[mg/L],0.35155024,0.7,0.9,additive,8.395329892
고흥연안1_연안,투명도[m],0.836587747,0.7,0.8,multiplicative,1.743448471
고흥연안1_연안,화학적산소요구량[mg/L],0.599270236,0.7,0.9,additive,1.259774698
고흥연안1_연안,염분[psu],1.247211494,0.5,0.9,multiplicative,32.90340163
고흥연안1_연안,클로로필-a[μg/L],0.677425601,0.7,0.8,multiplicative,2.420405548
고흥연안1_연안,총인[μg/L],0.54792811,0.7,0.9,multiplicative,32.39399386
고흥연안1_연안,수온[℃],1.148476634,0.7,0.8,additive,17.00365041
고흥연안1_연안,총질소[μg/L],0.392107094,0.7,0.9,multiplicative,235.409196
고흥연안1_연안,용존산소[mg/L],0.660639503,0.3,0.8,additive,8.04688785
고흥연안2_연안,투명도[m],0.632723142,0.7,0.9,multiplicative,3.563628012
고흥연안2_연안,화학적산소요구량[mg/L],0.787749569,0.3,0.9,multiplicative,0.285554212
고흥연안2_연안,염분[psu],0.869329793,0.7,0.8,multiplicative,33.00132249
고흥연안2_연안,클로로필-a[μg/L],0.548615573,0.3,0.9,multiplicative,0.668105606
고흥연안2_연안,총인[μg/L],0.215099544,0.3,0.8,multiplicative,23.10850824
고흥연안2_연안,수온[℃],0.998087373,0.3,0.9,additive,17.13908492
고흥연안2_연안,총질소[μg/L],0.630527252,0.7,0.9,multiplicative,180.7930586
고흥연안2_연안,용존산소[mg/L],1.330374603,0.3,0.8,additive,8.222459724
고흥연안3_연안,투명도[m],0.867450794,0.7,0.8,multiplicative,1.582102351
고흥연안3_연안,화학적산소요구량[mg/L],0.320337612,0.7,0.8,additive,1.205151589
고흥연안3_연안,염분[psu],0.994874646,0.7,0.8,multiplicative,32.89854802
고흥연안3_연안,클로로필-a[μg/L],0.397105197,0.3,0.8,multiplicative,1.097306493
고흥연안3_연안,총인[μg/L],0.331965859,0.7,0.9,multiplicative,25.93411356
고흥연안3_연안,수온[℃],1.326657091,0.7,0.9,additive,17.29560356
고흥연안3_연안,총질소[μg/L],0.643799966,0.5,0.9,multiplicative,172.8402609
고흥연안3_연안,용존산소[mg/L],0.767282564,0.7,0.8,multiplicative,8.610569642
고흥연안4_연안,투명도[m],0.767213977,0.3,0.8,additive,3.111276162
고흥연안4_연안,화학적산소요구량[mg/L],0.647614555,0.3,0.9,additive,1.529316611
고흥연안4_연안,염분[psu],1.32566269,0.3,0.9,multiplicative,32.89398826
고흥연안4_연안,클로로필-a[μg/L],0.415684261,0.3,0.8,multiplicative,3.098722128
고흥연안4_연안,총인[μg/L],0.412057776,0.7,0.8,additive,21.22954531
고흥연안4_연안,수온[℃],1.172451588,0.3,0.9,additive,17.38457646
고흥연안4_연안,총질소[μg/L],0.541037469,0.3,0.9,multiplicative,180.2694806
고흥연안4_연안,용존산소[mg/L],0.948447668,0.3,0.8,additive,7.974837737
